timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/19 17:05:03.649, 8 %, 5 %, 5904 MiB, 12288 MiB, 45, 15.28 W
2026/01/19 17:05:04.650, 4 %, 6 %, 5893 MiB, 12288 MiB, 45, 15.03 W
2026/01/19 17:05:05.651, 91 %, 59 %, 5891 MiB, 12288 MiB, 50, 29.18 W
2026/01/19 17:05:06.657, 84 %, 73 %, 5891 MiB, 12288 MiB, 52, 122.04 W
2026/01/19 17:05:07.672, 87 %, 75 %, 5901 MiB, 12288 MiB, 52, 124.90 W
2026/01/19 17:05:08.677, 88 %, 61 %, 5901 MiB, 12288 MiB, 52, 126.06 W
2026/01/19 17:05:09.678, 86 %, 75 %, 5900 MiB, 12288 MiB, 53, 126.34 W
2026/01/19 17:05:10.679, 79 %, 69 %, 5891 MiB, 12288 MiB, 53, 123.06 W
2026/01/19 17:05:11.680, 78 %, 67 %, 5893 MiB, 12288 MiB, 53, 119.46 W
2026/01/19 17:05:12.681, 85 %, 58 %, 5891 MiB, 12288 MiB, 53, 120.32 W
2026/01/19 17:05:13.682, 86 %, 74 %, 5888 MiB, 12288 MiB, 53, 126.19 W
2026/01/19 17:05:14.683, 86 %, 74 %, 5901 MiB, 12288 MiB, 54, 125.02 W
2026/01/19 17:05:15.684, 0 %, 0 %, 5901 MiB, 12288 MiB, 49, 59.95 W
2026/01/19 17:05:16.685, 1 %, 0 %, 5900 MiB, 12288 MiB, 48, 44.01 W
2026/01/19 17:05:17.686, 2 %, 0 %, 5898 MiB, 12288 MiB, 46, 28.64 W
