timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/19 20:01:35.856, 2 %, 4 %, 11531 MiB, 12288 MiB, 39, 12.68 W
2026/01/19 20:01:36.872, 1 %, 10 %, 11460 MiB, 12288 MiB, 39, 13.07 W
2026/01/19 20:01:37.880, 94 %, 52 %, 11460 MiB, 12288 MiB, 46, 39.35 W
2026/01/19 20:01:39.012, 85 %, 74 %, 11470 MiB, 12288 MiB, 47, 126.34 W
2026/01/19 20:01:40.059, 81 %, 71 %, 11467 MiB, 12288 MiB, 48, 126.39 W
2026/01/19 20:01:41.072, 85 %, 75 %, 11458 MiB, 12288 MiB, 49, 127.23 W
2026/01/19 20:01:42.088, 88 %, 67 %, 11452 MiB, 12288 MiB, 49, 128.32 W
2026/01/19 20:01:43.098, 85 %, 75 %, 11444 MiB, 12288 MiB, 50, 126.77 W
2026/01/19 20:01:44.108, 86 %, 76 %, 11450 MiB, 12288 MiB, 50, 128.39 W
2026/01/19 20:01:45.112, 0 %, 0 %, 11456 MiB, 12288 MiB, 45, 63.45 W
2026/01/19 20:01:46.116, 0 %, 0 %, 11456 MiB, 12288 MiB, 44, 43.55 W
